UMAP1,UMAP2,cell_type,condition
7.6993027,0.36008415,Endothelial,Control
-1.231304,6.76753,Fibroblast,Control
7.93132,3.3516054,Endothelial,Control
8.453793,2.005593,Endothelial,Control
7.9739113,3.5961075,Endothelial,Control
8.796177,1.5009162,Endothelial,Control
5.800532,-1.2072206,Fibroblast,Control
3.7694874,2.2121224,Endothelial,Control
1.7370492,-7.813611,Fibroblast,Control
9.102712,2.3414783,Endothelial,Control
1.855533,-8.342875,Fibroblast,Control
5.580132,10.47476,B_cell,Control
1.7896804,-5.960436,Fibroblast,Control
3.5987427,20.296867,Fibroblast,Control
-2.9372787,7.8606873,Fibroblast,Control
-1.1315144,7.1821356,Fibroblast,Control
4.432445,-5.3178816,Fibroblast,Control
7.57268,1.175188,Endothelial,Control
1.344178,-7.8453865,Fibroblast,Control
-0.17897233,3.4045556,Endothelial,Control
5.393303,1.9982098,Endothelial,Control
8.934358,2.3150063,Endothelial,Control
8.425453,0.921594,Endothelial,Control
8.995562,0.42258316,Endothelial,Control
0.92418635,-8.946485,Fibroblast,Control
0.8037866,-6.980298,Fibroblast,Control
0.108003214,-8.313824,Fibroblast,Control
7.4749727,0.3580229,Endothelial,Control
0.82652724,-7.317118,Fibroblast,Control
8.815676,1.673769,Endothelial,Control
4.5652194,-6.0137534,Fibroblast,Control
9.385307,0.792733,Endothelial,Control
-0.29302084,12.359995,Fibroblast,Control
-6.0413227,7.445766,Macrophage,Control
7.764662,1.59009,Endothelial,Control
9.0177555,1.980687,Endothelial,Control
6.9379234,2.6697323,Endothelial,Control
5.128948,9.863796,B_cell,Control
0.9726749,3.1409042,Endothelial,Control
9.273374,3.9466095,Endothelial,Control
0.84788597,-8.362336,Fibroblast,Control
0.44863653,-6.9079614,Fibroblast,Control
1.6534488,-7.8659315,Fibroblast,Control
8.620481,0.57112396,Endothelial,Control
0.098070174,13.356378,Fibroblast,Control
9.431579,0.8273256,Endothelial,Control
8.248551,5.406694,Endothelial,Control
0.60103315,-8.543676,Fibroblast,Control
-4.9085326,4.384911,Fibroblast,Control
-0.2861912,-5.762773,Fibroblast,Control
7.8545456,0.53681546,Endothelial,Control
1.666474,-7.835199,Fibroblast,Control
5.1629415,1.9395014,Endothelial,Control
8.027193,1.1404274,Endothelial,Control
8.366199,1.9915868,Endothelial,Control
7.564249,1.2500653,Endothelial,Control
7.8243294,2.5809767,Endothelial,Control
8.463233,3.105591,Endothelial,Control
8.784649,2.7545967,Endothelial,Control
-0.29981244,-7.6591234,Fibroblast,Control
8.776859,4.256861,Endothelial,Control
8.431571,1.1723496,Endothelial,Control
7.3214345,0.9154961,Endothelial,Control
0.039743353,-7.607809,Fibroblast,Control
9.17128,1.3074151,Endothelial,Control
0.16988671,-8.390966,Fibroblast,Control
1.4367006,-8.677024,Fibroblast,Control
5.057452,9.519115,B_cell,Control
9.741741,1.8536882,Endothelial,Control
2.711789,2.454402,Endothelial,Control
0.19484322,-7.0658965,Fibroblast,Control
8.460641,2.3561568,Endothelial,Control
0.7408484,-8.059734,Fibroblast,Control
2.0012455,-7.8387284,Fibroblast,Control
0.4134034,-7.519433,Fibroblast,Control
0.3937151,-7.1770754,Fibroblast,Control
1.578086,-7.3505306,Fibroblast,Control
7.8985066,1.1445174,Endothelial,Control
8.076674,1.8929917,Endothelial,Control
-1.0303949,-8.393724,Erythrocyte,Control
8.653159,0.6564366,Endothelial,Control
7.2348194,0.44597802,Endothelial,Control
5.4859147,-1.4536694,Fibroblast,Control
9.614995,1.9504708,Endothelial,Control
5.7353616,-1.4560713,Fibroblast,Control
-4.5904207,4.967655,Fibroblast,Control
8.06708,2.6645765,Endothelial,Control
9.858383,2.2124164,Endothelial,Control
-5.338651,0.48017615,VSMC,Control
7.517334,1.7057514,Endothelial,Control
1.7800971,2.917237,Endothelial,Control
1.7527643,-7.4523163,Fibroblast,Control
8.138293,2.5881958,Endothelial,Control
1.6377589,-7.6004095,Fibroblast,Control
8.696119,1.85137,Endothelial,Control
8.102011,0.5484895,Endothelial,Control
1.1297687,-7.5373926,Fibroblast,Control
0.14277034,-6.9000096,Fibroblast,Control
0.9185158,-8.953782,Fibroblast,Control
8.025238,3.7903776,Endothelial,Control
8.771955,0.5095295,Endothelial,Control
-11.524495,0.20255257,Erythrocyte,Control
9.411874,0.7517729,Endothelial,Control
0.3418518,-9.319109,Fibroblast,Control
8.728648,2.2067065,Endothelial,Control
8.991237,0.9416192,Endothelial,Control
7.6774726,1.264407,Endothelial,Control
2.573373,-6.5613213,Fibroblast,Control
7.6156135,0.9369474,Endothelial,Control
7.596362,1.7844809,Endothelial,Control
0.5587385,-7.441366,Fibroblast,Control
0.5566614,-7.336306,Fibroblast,Control
9.845507,2.3502371,Endothelial,Control
8.017553,0.14933324,Endothelial,Control
9.01626,3.3892543,Endothelial,Control
4.5976954,-5.5655546,Fibroblast,Control
7.6825905,0.63192874,Endothelial,Control
9.145995,1.1422443,Endothelial,Control
2.5217526,-6.7054715,Fibroblast,Control
8.03532,0.63851035,Endothelial,Control
6.2024117,2.355446,Endothelial,Control
-11.718617,0.30693626,Erythrocyte,Control
2.338536,-6.9686785,Fibroblast,Control
9.343357,1.886212,Endothelial,Control
8.2890005,0.8228116,Endothelial,Control
8.115474,0.27600256,Endothelial,Control
9.034607,1.4665755,Endothelial,Control
8.582203,1.64789,Endothelial,Control
0.7985454,-6.5808315,Fibroblast,Control
0.6024119,-6.9286366,Fibroblast,Control
8.264751,3.9101548,Endothelial,Control
-11.495068,4.448638,Fibroblast,Control
0.028479917,-7.3060884,Fibroblast,Control
0.2007135,-7.9002743,Fibroblast,Control
2.073733,-7.09754,Fibroblast,Control
9.567468,1.9853015,Endothelial,Control
8.152421,1.0837234,Endothelial,Control
9.581168,1.0595106,Endothelial,Control
9.375488,2.239049,Endothelial,Control
-4.82744,4.5749283,Fibroblast,Control
0.46815982,-7.8560905,Fibroblast,Control
0.78785956,-7.1740384,Fibroblast,Control
2.267442,-7.1871333,Fibroblast,Control
0.34826413,-8.170999,Fibroblast,Control
-0.22181034,12.366327,Fibroblast,Control
1.4420896,-7.4724174,Fibroblast,Control
4.8235536,1.875426,Endothelial,Control
-0.12109954,-7.0628157,Fibroblast,Control
9.508142,2.9538689,Endothelial,Control
7.3664484,1.2770396,Endothelial,Control
0.41984013,-8.264991,Fibroblast,Control
-2.9754493,-5.135203,Fibroblast,Control
8.420358,3.2821844,Endothelial,Control
3.5845544,-6.504799,Fibroblast,Control
-11.432542,0.120056175,Erythrocyte,Control
8.295847,4.9577446,Endothelial,Control
-9.865632,3.4594874,Fibroblast,Control
-0.08665006,-7.6271977,Fibroblast,Control
9.5755005,1.9094843,Endothelial,Control
8.973948,4.0776525,Endothelial,Control
0.28785184,-8.832266,Fibroblast,Control
2.1876824,-8.168269,Fibroblast,Control
2.7499335,-6.5749364,Fibroblast,Control
4.598983,-5.8357043,Fibroblast,Control
8.956553,1.3017398,Endothelial,Control
-4.1717234,5.2850537,Fibroblast,Control
7.3170233,1.2879249,Endothelial,Control
8.861626,4.354061,Endothelial,Control
9.170395,2.9006763,Endothelial,Control
8.672923,0.3463441,Endothelial,Control
8.82826,4.320993,Endothelial,Control
9.48418,1.1761274,Endothelial,Control
0.50550807,-8.365393,Fibroblast,Control
9.359873,1.9886705,Endothelial,Control
4.5645766,-4.609412,Fibroblast,Control
0.33687547,-7.6970043,Fibroblast,Control
9.488867,3.2231574,Endothelial,Control
8.231864,5.494614,Endothelial,Control
8.063877,0.110574216,Endothelial,Control
8.641629,3.8074472,Endothelial,Control
9.278699,0.74659204,Endothelial,Control
0.8451167,-7.835549,Fibroblast,Control
8.720657,2.5065515,Endothelial,Control
7.966597,0.57224745,Endothelial,Control
-0.17099516,3.4287863,Endothelial,Control
-0.9165287,13.204298,Fibroblast,Control
9.231483,2.135174,Endothelial,Control
-0.30319706,-8.344534,Fibroblast,Control
8.018071,1.4971948,Endothelial,Control
1.8300725,-7.4209676,Fibroblast,Control
8.130317,1.1861131,Endothelial,Control
3.0745573,-6.5008364,Fibroblast,Control
8.423269,2.225251,Endothelial,Control
5.368712,-0.85276914,Fibroblast,Control
2.2448242,-6.5647836,Fibroblast,Control
7.1819453,0.8696881,Endothelial,Control
1.1624417,-8.571738,Fibroblast,Control
1.5493629,-7.855999,Fibroblast,Control
7.5365343,0.4325061,Endothelial,Control
6.3665624,1.8459525,Endothelial,Control
8.471055,4.890241,Endothelial,Control
0.4181441,-7.0298986,Fibroblast,Control
0.9307061,14.7143545,Fibroblast,Control
9.385969,0.7250483,Endothelial,Control
0.44450983,-8.479155,Fibroblast,Control
8.813053,0.331921,Endothelial,Control
9.553804,1.603302,Endothelial,Control
4.6360536,-5.4294157,Fibroblast,Control
8.735332,1.3271788,Endothelial,Control
2.91441,2.4450147,Endothelial,Control
8.696573,3.113352,Endothelial,Control
8.492974,1.6642017,Endothelial,Control
0.040057562,-9.018858,Fibroblast,Control
0.3654449,-9.068513,Fibroblast,Control
-3.157439,6.138426,Fibroblast,Control
9.474428,1.9724516,Endothelial,Control
2.119279,-7.9154034,Fibroblast,Control
1.9628195,-6.993133,Fibroblast,Control
4.563234,-5.0628395,Fibroblast,Control
8.174773,3.224374,Endothelial,Control
-9.779607,3.5713437,Fibroblast,Control
0.34186155,-7.8156724,Fibroblast,Control
8.273335,3.408093,Endothelial,Control
7.077119,0.6671869,Endothelial,Control
7.656916,2.15553,Endothelial,Control
9.629943,1.8161474,Endothelial,Control
1.0240122,-7.5494695,Fibroblast,Control
8.634686,3.428238,Endothelial,Control
8.165538,4.9130554,Endothelial,Control
3.6205857,-5.8888216,Fibroblast,Control
6.6976404,1.1362023,Endothelial,Control
0.43763995,-6.9841876,Fibroblast,Control
8.354535,2.148649,Endothelial,Control
1.0099479,-8.374375,Fibroblast,Control
0.88022333,-7.571786,Fibroblast,Control
9.846801,2.9083912,Endothelial,Control
-0.43128657,-6.2515593,Fibroblast,Control
8.611952,2.036237,Endothelial,Control
1.6738681,-7.9033136,Fibroblast,Control
9.103306,0.6514446,Endothelial,Control
-0.25295192,12.325804,Fibroblast,Control
9.606435,1.6126338,Endothelial,Control
1.1627342,3.16067,Endothelial,Control
8.271489,1.5265185,Endothelial,Control
7.9597983,1.3350894,Endothelial,Control
7.2838826,0.35204935,Endothelial,Control
0.39510047,-6.955536,Fibroblast,Control
-2.9467013,8.264132,Fibroblast,Control
-11.306309,4.4290648,Fibroblast,Control
7.8848286,3.0904286,Endothelial,Control
-0.22742103,-8.549539,Fibroblast,Control
1.9411945,-6.4964046,Fibroblast,Control
8.586191,2.4564962,Endothelial,Control
9.491555,2.035109,Endothelial,Control
5.84611,-0.25867328,Erythrocyte,Control
9.478265,1.4762809,Endothelial,Control
5.200276,1.959304,Endothelial,Control
5.004704,9.45672,B_cell,Control
9.275886,1.4801166,Endothelial,Control
7.977174,1.1120876,Endothelial,Control
-4.885405,4.3691883,Fibroblast,Control
9.202269,0.5263514,Endothelial,Control
9.047011,1.6721419,Endothelial,Control
4.328909,3.2667584,Endothelial,Control
4.969598,1.9150323,Endothelial,Control
4.7815886,-5.2884755,Fibroblast,Control
8.880967,2.0059047,Endothelial,Control
0.40034187,-8.417912,Fibroblast,Control
-0.9499694,13.0389595,Fibroblast,Control
0.08048953,-7.059952,Fibroblast,Control
8.798744,1.0241601,Endothelial,Control
0.2330006,-8.096932,Fibroblast,Control
8.800146,0.4513867,Endothelial,Control
9.616443,3.2989106,Endothelial,Control
-2.9791062,8.041755,Fibroblast,Control
1.7404459,2.9379041,Endothelial,Control
8.316911,4.080038,Endothelial,Control
8.852151,2.3987625,Endothelial,Control
3.8073463,-6.3595667,Fibroblast,Control
2.3082876,-7.4271317,Fibroblast,Control
5.6993895,-1.1642406,Fibroblast,Control
0.88570243,-8.874739,Fibroblast,Control
-0.21856996,-8.625424,Fibroblast,Control
7.9686213,2.2961867,Endothelial,Control
4.9524684,9.306047,B_cell,Control
4.007124,-6.3802695,Fibroblast,Control
5.157168,2.7014194,Endothelial,Control
8.791025,2.1440709,Endothelial,Control
8.467548,1.4599385,Endothelial,Control
8.451552,1.1683002,Endothelial,Control
8.072437,0.3279042,Endothelial,Control
9.183119,0.42973536,Endothelial,Control
8.495812,3.450354,Endothelial,Control
1.7761308,-8.485979,Fibroblast,Control
4.7323947,-5.1060214,Fibroblast,Control
6.180769,3.426095,Endothelial,Control
9.710262,1.4191982,Endothelial,Control
-0.7451514,-6.497663,Fibroblast,Control
9.367819,2.7917492,Endothelial,Control
7.747145,1.1307274,Endothelial,Control
2.0372646,-6.748492,Fibroblast,Control
8.59496,3.648937,Endothelial,Control
0.71397555,-8.958835,Fibroblast,Control
2.993256,-6.768195,Fibroblast,Control
2.7808094,4.0440903,Endothelial,Control
9.301971,0.4099127,Endothelial,Control
7.4926925,0.48423046,Endothelial,Control
8.785121,2.2231376,Endothelial,Control
3.1447682,-6.6021028,Fibroblast,Control
8.672686,3.7011027,Endothelial,Control
-5.0032263,4.3413844,Fibroblast,Control
2.2443373,-7.7644353,Fibroblast,Control
7.5879307,2.533397,Endothelial,Control
9.190845,2.6458786,Endothelial,Control
1.447483,-8.196386,Fibroblast,Control
2.411274,-6.6199846,Fibroblast,Control
8.064437,3.3489597,Endothelial,Control
